PACIFIC Exchange Rate Service,,,,,,,
Jul.Day,YYYY/MM/DD,Wdy,USD/XDR,CAD/XDR,EUR/XDR,GBP/XDR,JPY/XDR
2459373,2021/6/7,Mon,1.4436,1.7428,1.1846,1.0182,157.72
2459374,2021/6/8,Tue,1.4428,1.7453,1.1846,1.0197,157.95
2459375,2021/6/9,Wed,1.4432,1.7455,1.1841,1.0216,158.11
2459376,2021/6/10,Thu,1.4427,1.7449,1.1851,1.0192,158.05
2459377,2021/6/11,Fri,1.4396,1.7488,1.1889,1.0198,157.97
2459380,2021/6/14,Mon,1.4398,1.7482,1.1878,1.0202,158.35
2459381,2021/6/15,Tue,1.4392,1.7541,1.1873,1.0223,158.46
2459382,2021/6/16,Wed,1.4385,1.7537,1.1892,1.0212,158.28
2459383,2021/6/17,Thu,1.4288,1.7633,1.1986,1.0257,157.72
2459384,2021/6/18,Fri,1.4262,1.7712,1.2012,1.0314,157.16
2459387,2021/6/21,Mon,1.428,1.7674,1.199,1.0264,157.38
2459388,2021/6/22,Tue,1.4276,1.7639,1.1978,1.0253,158.06
2459389,2021/6/23,Wed,1.429,1.7558,1.1964,1.0226,158.46
2459390,2021/6/24,Thu,1.4282,1.759,1.1967,1.0262,158.33
2459391,2021/6/25,Fri,1.429,1.7568,1.1963,1.0281,158.27
2459394,2021/6/28,Mon,1.4281,1.7616,1.1976,1.0281,157.99
2459395,2021/6/29,Tue,1.4266,1.7666,1.1991,1.0308,157.74
2459396,2021/6/30,Wed,1.4247,1.7658,1.2013,1.031,158.08
2459398,2021/7/2,Fri,1.4235,1.7585,1.2013,1.0316,158.28
2459401,2021/7/5,Mon,1.4252,1.7591,1.2011,1.0289,158.05
2459402,2021/7/6,Tue,1.4232,1.7713,1.2035,1.0305,157.45
2459403,2021/7/7,Wed,1.4224,1.7744,1.2049,1.0307,157.45
2459404,2021/7/8,Thu,1.4242,1.7859,1.2022,1.0342,156.25
2459405,2021/7/9,Fri,1.4257,1.7787,1.2013,1.0287,156.99
2459408,2021/7/12,Mon,1.4254,1.7776,1.202,1.0273,157.17
2459409,2021/7/13,Tue,1.4229,1.7806,1.2053,1.0288,157.16
2459410,2021/7/14,Wed,1.4244,1.7801,1.2046,1.0274,156.84
2459411,2021/7/15,Thu,1.4238,1.79,1.2056,1.029,156.61
2459412,2021/7/16,Fri,1.4227,1.7916,1.2049,1.0318,156.74
2459415,2021/7/19,Mon,1.4219,1.8142,1.2051,1.0392,155.59
2459416,2021/7/20,Tue,1.4201,1.8078,1.2062,1.0432,155.85
2459417,2021/7/21,Wed,1.4213,1.7893,1.2055,1.0385,156.68
2459418,2021/7/22,Thu,1.4217,1.7867,1.2069,1.0329,156.59
2459419,2021/7/23,Fri,1.4206,1.7864,1.2071,1.0327,156.98
2459422,2021/7/26,Mon,1.4225,1.7851,1.2051,1.0297,157
2459423,2021/7/27,Tue,1.4237,1.7907,1.2041,1.0271,156.26
2459424,2021/7/28,Wed,1.4232,1.7884,1.2052,1.0255,156.74
2459425,2021/7/29,Thu,1.4283,1.7782,1.2018,1.0226,156.54
2459426,2021/7/30,Fri,1.4269,1.7782,1.2025,1.0253,156.53
2459430,2021/8/3,Tue,1.4274,1.7906,1.2027,1.0262,155.71
2459431,2021/8/4,Wed,1.4266,1.7897,1.2038,1.0255,156.03
2459432,2021/8/5,Thu,1.426,1.7821,1.2044,1.0238,156.46
2459433,2021/8/6,Fri,1.4218,1.7844,1.2083,1.0243,156.66
2459436,2021/8/9,Mon,1.4209,1.7853,1.2093,1.0252,156.61
2459437,2021/8/10,Tue,1.4192,1.7797,1.2111,1.0252,156.94
2459438,2021/8/11,Wed,1.4204,1.7763,1.2099,1.0244,156.92
2459439,2021/8/12,Thu,1.4199,1.7777,1.21,1.0271,156.77
2459440,2021/8/13,Fri,1.423,1.7807,1.2071,1.027,156.2
2459443,2021/8/16,Mon,1.4231,1.7887,1.2083,1.0276,155.4
2459444,2021/8/17,Tue,1.4196,1.792,1.2109,1.0326,155.42
2459445,2021/8/18,Wed,1.4188,1.7919,1.2116,1.0312,155.95
2459446,2021/8/19,Thu,1.4169,1.8125,1.2124,1.0372,155.58
2459447,2021/8/20,Fri,1.4165,1.821,1.212,1.0399,155.51
2459450,2021/8/23,Mon,1.4196,1.8003,1.2094,1.0352,155.87
2459451,2021/8/24,Tue,1.4205,1.791,1.2091,1.0351,155.74
2459452,2021/8/25,Wed,1.4203,1.7923,1.2084,1.0343,156.26
2459453,2021/8/26,Thu,1.4201,1.7965,1.2079,1.0357,156.35
2459454,2021/8/27,Fri,1.4219,1.7965,1.2065,1.0337,156.36
2459457,2021/8/30,Mon,1.4226,1.7929,1.2059,1.0341,156.31
2459458,2021/8/31,Tue,1.4234,1.796,1.2049,1.0342,156.44
2459459,2021/9/1,Wed,1.4246,1.796,1.2028,1.0336,156.72
2459460,2021/9/2,Thu,1.4257,1.7926,1.2019,1.0316,156.83
2459461,2021/9/3,Fri,1.4277,1.7872,1.201,1.0297,156.63
2459465,2021/9/7,Tue,1.4245,1.7979,1.2023,1.0333,157.02
2459466,2021/9/8,Wed,1.4234,1.8043,1.2042,1.0339,156.9
2459467,2021/9/9,Thu,1.4249,1.803,1.2048,1.0292,156.38
2459468,2021/9/10,Fri,1.425,1.7999,1.2053,1.0285,156.65
2459471,2021/9/13,Mon,1.4236,1.8026,1.2064,1.0289,156.61
2459472,2021/9/14,Tue,1.4251,1.8043,1.2056,1.0289,156.36
2459473,2021/9/15,Wed,1.4253,1.8031,1.2065,1.0303,155.84
2459474,2021/9/16,Thu,1.4219,1.8021,1.2091,1.0313,155.89
2459475,2021/9/17,Fri,1.4205,1.807,1.2097,1.0323,156.18
2459478,2021/9/20,Mon,1.4194,1.8208,1.2107,1.039,155.35
"(C) 2021 Prof. Werner Antweiler, UBC",,,,,,,
